,ServiceName,Description,Category
5,Full Face Waxing Brazlian,"""Full Face Brazlian Wax offers effective hair removal with skin-soothing benefits, ideal for sensitive skin.",Laser
8,Sides of face - Threading,"Efficient and gentle hair removal along the sides of the face for a smooth, even finish.",Laser
35,Beard Shaping- Laser,"Get a perfectly defined beard shape using advanced Laser Hair Reduction technology, offering long-lasting results with precise control and minimal discomfort.",Laser
69,Carbon Facial,"A revolutionary facial treatment that uses a carbon lotion applied to the skin, followed by laser therapy to deeply cleanse the pores, reduce acne, and improve skin texture, resulting in a clearer, glowing complexion.",Laser
70,Q-switch Laser,"A versatile and advanced laser treatment that targets pigmentation, sun spots, acne scars, and skin rejuvenation by using laser pulses to break down melanin and stimulate collagen production for a brighter, smoother skin tone.",Laser
96,Tattoo Removal - per inch,"A safe and effective laser treatment that uses advanced Q-Switched technology to break down tattoo pigments in the skin. This non-invasive procedure targets unwanted tattoos without harming surrounding tissue, gradually fading the ink over multiple sessions for clear, ink-free skin.",Laser
102,Full Body LHR- Male,"An advanced, pain-free laser treatment designed specifically for male hair removal needs. Using Soprano Titanium technology, this full-body solution offers effective, long-term hair reduction with enhanced comfort and safety for all skin types and thicker hair textures.",Laser
103,Upper Lip LHR,"A gentle and effective laser hair removal treatment for the upper lip using advanced Soprano Titanium technology. This quick, virtually painless procedure provides long-lasting smoothness and is safe for all skin types, even sensitive areas.",Laser
104,Under Arm LHR,"A quick and effective laser treatment using Soprano Titanium technology to remove unwanted underarm hair. This virtually painless procedure offers smooth, long-lasting results while also helping reduce pigmentation and ingrown hairs.",Laser
105,Full Arm LHR,"A safe and effective laser hair removal treatment for the full arms, utilizing Soprano Titanium technology. This advanced procedure provides smooth, hair-free skin with minimal discomfort and long-lasting results, suitable for all skin types.",Laser
106,Full Legs LHR,"A highly effective and comfortable laser hair removal treatment for the entire legs, using Soprano Titanium technology. This virtually painless procedure delivers smooth, long-lasting results, reducing hair growth significantly, and is safe for all skin types.",Laser
108,Back LHR,"A highly effective and virtually painless laser hair removal treatment for the back, using Soprano Titanium technology. This advanced procedure ensures smooth, hair-free skin with long-lasting results, designed to comfortably address larger areas and suitable for all skin types.",Laser
109,Full Arm Waxing- Honey,"A gentle and effective hair removal method for the entire arms using high-quality honey wax. This treatment ensures smooth, hair-free skin while nourishing and hydrating the skin, leaving it soft and silky with long-lasting results.",Laser
110,Full Arm Waxing- Rica,"A luxurious and effective hair removal treatment for the entire arms using Rica wax, known for its gentle and smooth application. This method is perfect for sensitive skin, providing long-lasting, silky-smooth results while minimizing irritation.",Laser
111,Full Legs Waxing- Honey,"A soothing and effective hair removal treatment for the entire legs using nourishing honey wax. This gentle waxing technique ensures smooth, hair-free skin while hydrating and protecting the skin, providing long-lasting results with minimal irritation.",Laser
112,Full Legs Waxing- Rica,"A premium hair removal service for the full legs using Rica wax, known for its gentle, smooth application and suitability for sensitive skin. This treatment provides long-lasting results, leaving the skin silky, soft, and hair-free with minimal irritation.",Laser
113,Upper Body LHR,"An effective and virtually painless laser hair removal treatment for the upper body, including areas like the chest, arms, shoulders, and underarms, using Soprano Titanium technology. This advanced procedure delivers smooth, long-lasting results with minimal discomfort, suitable for all skin types.",Laser
